iter	Passed	Remaining
171	11279	54300
172	11328	54154
173	11376	54007
174	11429	53881
175	11480	53750
176	11534	53630
177	11583	53492
178	11633	53356
179	11689	53250
180	11742	53131
181	11791	52995
182	11841	52866
183	11891	52734
184	11941	52605
185	11989	52472
186	12043	52360
187	12095	52244
188	12160	52181
189	12220	52097
190	12270	51973
191	12320	51850
192	12372	51731
193	12424	51619
194	12556	51837
195	12655	51912
196	12727	51879
197	12798	51838
198	12858	51758
199	12908	51632
200	12959	51515
201	13012	51406
202	13061	51279
203	13111	51161
204	13161	51039
205	13218	50947
206	13278	50868
207	13341	50799
208	13458	50936
209	13584	51102
210	13683	51165
211	13735	51055
212	13799	50985
213	13863	50918
214	13914	50805
215	13971	50709
216	14019	50587
217	14070	50471
218	14118	50350
219	14167	50231
220	14221	50128
221	14279	50043
222	14335	49948
223	14472	50135
224	14597	50278
225	14664	50221
226	14716	50114
227	14765	49995
228	14821	49900
229	14872	49789
230	14920	49671
231	14970	49556
232	15019	49443
233	15067	49322
234	15116	49210
235	15164	49093
236	15214	48980
237	15263	48867
238	15315	48767
239	15365	48656
240	15413	48541
241	15462	48432
242	15509	48314
243	15558	48206
244	15605	48091
245	15652	47976
246	15700	47865
247	15751	47763
248	15798	47648
249	15852	47557
250	15904	47459
251	15971	47406
252	16032	47336
253	16089	47256
254	16139	47153
255	16193	47061
256	16258	47005
257	16307	46899
258	16355	46793
259	16400	46679
260	16448	46573
261	16500	46478
262	16550	46379
263	16598	46275
264	16648	46176
265	16697	46076
266	16745	45971
267	16792	45866
268	16845	45777
269	16895	45680
270	16945	45583
271	16991	45476
272	17039	45375
273	17085	45270
274	17136	45179
275	17183	45074
276	17234	44984
277	17294	44915
278	17348	44831
279	17395	44730
280	17447	44643
281	17493	44541
282	17541	44442
283	17588	44343
284	17641	44259
285	17692	44168
286	17746	44088
287	17793	43990
288	17846	43905
289	17892	43806
290	17943	43717
291	17995	43633
292	18044	43540
293	18091	43444
294	18141	43355
295	18189	43261
296	18237	43167
297	18284	43074
298	18336	42989
299	18403	42942
300	18463	42877
301	18515	42793
302	18566	42708
303	18623	42637
304	18678	42562
305	18737	42496
306	18785	42405
307	18844	42339
308	18891	42245
309	18938	42154
310	18985	42060
311	19032	41968
312	19078	41875
313	19126	41786
314	19172	41692
315	19220	41604
316	19268	41515
317	19315	41425
318	19363	41336
319	19414	41255
320	19462	41167
321	19509	41079
322	19557	40991
323	19603	40901
324	19651	40815
325	19702	40734
326	19757	40662
327	19815	40596
328	19940	40668
329	20079	40768
330	20154	40735
331	20201	40646
332	20249	40560
333	20296	40471
334	20343	40383
335	20391	40296
336	20438	40209
337	20486	40125
338	20534	40038
339	20579	39948
340	20626	39861
341	20673	39776
342	20724	39696
343	20804	39672
344	20871	39625
345	20919	39542
346	20967	39457
347	21032	39404
348	21080	39322
349	21128	39239
350	21173	39150
351	21221	39066
352	21272	38989
353	21319	38905
354	21366	38821
355	21412	38735
356	21461	38655
357	21509	38573
358	21556	38490
359	21606	38411
360	21653	38329
361	21703	38250
362	21750	38168
363	21801	38092
364	21849	38012
365	21898	37932
366	21943	37847
367	21990	37766
368	22042	37692
369	22091	37615
370	22137	37532
371	22184	37451
372	22231	37369
373	22278	37289
374	22325	37209
375	22376	37135
376	22431	37068
377	22500	37024
378	22553	36953
379	22603	36879
380	22652	36802
381	22700	36725
382	22749	36648
383	22812	36595
384	22859	36515
385	22905	36435
386	22955	36361
387	23006	36288
388	23066	36230
389	23116	36156
390	23181	36105
391	23233	36036
392	23283	35961
393	23335	35892
394	23396	35834
395	23454	35773
396	23508	35706
397	23556	35629
398	23604	35555
399	23651	35476
400	23701	35403
401	23747	35325
402	23810	35272
403	23854	35191
404	23902	35115
405	23957	35051
406	24010	34983
407	24058	34908
408	24105	34832
409	24152	34756
410	24199	34680
411	24249	34608
412	24298	34536
413	24347	34462
414	24398	34393
415	24448	34321
416	24500	34253
417	24554	34188
418	24608	34123
419	24674	34074
420	24723	34002
421	24773	33931
422	24820	33857
423	24868	33783
424	24915	33709
425	24968	33643
426	25141	33737
427	25281	33786
428	25489	33925
429	25632	33977
430	25700	33929
431	25760	33870
432	25818	33808
433	25872	33742
434	25935	33686
435	25987	33616
436	26038	33545
437	26088	33474
438	26143	33408
439	26190	33333
440	26239	33259
441	26289	33189
442	26338	33115
443	26385	33041
444	26433	32967
445	26483	32896
446	26531	32823
447	26578	32748
448	26626	32675
449	26677	32606
450	26725	32533
451	26772	32458
452	26822	32388
453	26871	32316
454	26917	32242
455	26965	32169
456	27012	32095
457	27058	32021
458	27105	31947
459	27152	31874
460	27199	31802
461	27246	31728
462	27296	31659
463	27342	31584
464	27390	31513
465	27436	31439
466	27483	31367
467	27530	31294
468	27580	31225
469	27635	31163
470	27686	31095
471	27734	31024
472	27782	30953
473	27830	30883
474	27881	30816
475	27931	30748
476	27980	30678
477	28034	30614
478	28097	30560
479	28153	30499
480	28208	30436
481	28255	30366
482	28315	30309
483	28365	30240
484	28417	30175
485	28467	30107
486	28514	30036
487	28563	29968
488	28610	29897
489	28657	29827
490	28705	29758
491	28751	29686
492	28802	29620
493	28848	29549
494	28899	29483
495	28949	29415
496	28996	29346
497	29044	29277
498	29091	29208
499	29144	29144
500	29192	29075
501	29240	29007
502	29288	28939
503	29334	28868
504	29381	28799
505	29436	28737
506	29484	28670
507	29532	28602
508	29582	28536
509	29632	28470
510	29682	28404
511	29729	28335
512	29781	28271
513	29829	28204
514	29880	28140
515	29929	28073
516	29960	27989
517	30007	27922
518	30055	27854
519	30102	27787
520	30148	27718
521	30195	27650
522	30242	27582
523	30298	27523
524	30344	27454
525	30392	27388
526	30456	27335
527	30510	27274
528	30589	27235
529	30651	27181
530	30839	27238
531	31042	27308
532	31123	27269
533	31191	27219
534	31238	27151
535	31286	27083
536	31335	27017
537	31384	26950
538	31433	26884
539	31480	26816
540	31526	26747
541	31574	26680
542	31620	26612
543	31669	26546
544	31718	26480
545	31774	26420
546	31821	26353
547	31868	26285
548	31915	26218
549	31963	26151
550	32010	26084
551	32057	26017
552	32105	25951
553	32153	25885
554	32202	25820
555	32251	25754
556	32296	25686
557	32345	25621
558	32394	25556
559	32443	25491
560	32490	25425
561	32538	25359
562	32585	25292
563	32631	25226
564	32680	25161
565	32735	25101
566	32804	25052
567	32857	24989
568	32904	24924
569	32951	24858
570	33001	24794
571	33049	24729
572	33095	24663
573	33142	24596
574	33191	24532
575	33243	24470
576	33303	24414
577	33366	24360
578	33429	24306
579	33482	24245
580	33549	24195
581	33603	24134
582	33655	24072
583	33761	24049
584	33959	24090
585	34063	24065
586	34111	23999
587	34162	23936
588	34208	23870
589	34259	23807
590	34307	23742
591	34354	23676
592	34401	23611
593	34449	23546
594	34495	23480
595	34544	23416
596	34591	23351
597	34720	23340
598	34921	23377
599	35018	23345
600	35064	23278
601	35112	23214
602	35159	23147
603	35206	23082
604	35253	23016
605	35304	22953
606	35351	22888
607	35400	22823
608	35458	22765
609	35522	22711
610	35579	22652
611	35634	22592
612	35697	22536
613	35766	22484
614	35818	22422
615	35867	22359
616	35921	22297
617	35970	22234
618	36019	22170
619	36067	22105
620	36117	22042
621	36165	21978
622	36213	21914
623	36263	21851
624	36315	21789
625	36368	21728
626	36420	21666
627	36469	21602
628	36516	21538
629	36564	21474
630	36612	21410
631	36662	21347
632	36710	21284
633	36759	21220
634	36806	21156
635	36851	21091
636	36896	21025
637	36945	20962
638	36992	20898
639	37043	20837
640	37091	20773
641	37209	20749
642	37324	20722
643	37392	20670
644	37441	20607
645	37489	20543
646	37539	20481
647	37585	20416
648	37633	20353
649	37681	20289
650	37728	20226
651	37781	20165
652	37828	20101
653	37877	20038
654	37928	19977
655	37985	19918
656	38042	19860
657	38124	19815
658	38180	19756
659	38227	19693
660	38275	19630
661	38339	19575
662	38389	19513
663	38438	19450
664	38489	19389
665	38535	19325
666	38582	19262
667	38629	19199
668	38684	19139
669	38738	19080
670	38785	19017
671	38831	18953
672	38878	18890
673	38926	18827
674	38986	18771
675	39034	18708
676	39081	18645
677	39127	18582
678	39175	18520
679	39223	18457
680	39270	18395
681	39317	18332
682	39368	18271
683	39416	18209
684	39462	18146
685	39509	18084
686	39556	18022
687	39602	17959
688	39651	17897
689	39699	17836
690	39750	17775
691	39798	17713
692	39845	17651
693	39893	17589
694	39940	17527
695	39997	17470
696	40047	17409
697	40099	17349
698	40153	17290
699	40200	17228
700	40250	17168
701	40301	17107
702	40348	17046
703	40397	16985
704	40448	16925
705	40535	16880
706	40590	16821
707	40640	16761
708	40697	16703
709	40755	16646
710	40811	16588
711	40871	16532
712	40922	16472
713	40972	16411
714	41019	16350
715	41067	16289
716	41117	16228
717	41166	16168
718	41216	16108
719	41266	16047
720	41318	15988
721	41368	15928
722	41416	15867
723	41466	15807
724	41518	15748
725	41576	15691
726	41723	15667
727	41830	15628
728	41926	15585
729	41980	15526
730	42047	15472
731	42122	15421
732	42174	15362
733	42223	15301
734	42273	15241
735	42323	15181
736	42373	15121
737	42422	15060
738	42471	15000
739	42522	14940
740	42572	14880
741	42622	14820
742	42672	14760
743	42727	14701
744	42776	14641
745	42823	14580
746	42888	14525
747	42942	14467
748	42994	14407
749	43072	14357
750	43164	14311
751	43217	14252
752	43268	14193
753	43318	14133
754	43368	14073
755	43418	14013
756	43466	13953
757	43517	13893
758	43567	13833
759	43618	13774
760	43667	13714
761	43721	13655
762	43770	13595
763	43820	13536
764	43869	13476
765	43918	13416
766	43970	13357
767	44018	13297
768	44068	13237
769	44123	13179
770	44173	13120
771	44223	13060
772	44274	13001
773	44328	12943
774	44385	12886
775	44436	12826
776	44486	12767
777	44537	12708
778	44589	12649
779	44639	12590
780	44693	12532
781	44746	12474
782	44796	12414
783	44846	12355
784	44896	12296
785	44945	12237
786	44995	12178
787	45045	12118
788	45095	12059
789	45151	12002
790	45203	11943
791	45253	11884
792	45316	11829
793	45384	11774
794	45444	11718
795	45494	11659
796	45551	11602
797	45611	11545
798	45663	11487
799	45717	11429
800	45771	11371
801	45823	11312
802	45873	11254
803	45923	11195
804	45973	11136
805	46029	11078
806	46079	11020
807	46128	10961
808	46181	10903
809	46229	10843
810	46278	10784
811	46330	10726
812	46391	10670
813	46442	10612
814	46496	10554
815	46545	10495
816	46599	10437
817	46650	10379
818	46704	10321
819	46757	10263
820	46806	10204
821	46854	10146
822	46920	10090
823	46969	10032
824	47021	9974
825	47072	9916
826	47125	9858
827	47185	9801
828	47234	9743
829	47283	9684
830	47333	9626
831	47385	9568
832	47434	9509
833	47483	9451
834	47532	9392
835	47666	9350
836	47815	9311
837	47893	9258
838	47944	9200
839	47998	9142
840	48051	9084
841	48106	9027
842	48158	8969
843	48235	8915
844	48300	8859
845	48351	8801
846	48398	8742
847	48450	8684
848	48499	8625
849	48547	8567
850	48598	8509
851	48648	8450
852	48702	8393
853	48755	8335
854	48804	8276
855	48851	8217
856	48900	8159
857	48949	8101
858	48996	8042
859	49046	7984
860	49094	7925
861	49143	7867
862	49189	7808
863	49236	7750
864	49285	7691
865	49340	7634
866	49389	7576
867	49437	7518
868	49485	7459
869	49535	7401
870	49585	7343
871	49633	7285
872	49683	7227
873	49739	7170
874	49787	7112
875	49838	7054
876	49891	6997
877	49941	6939
878	49992	6881
879	50041	6823
880	50091	6766
881	50141	6708
882	50197	6651
883	50258	6594
884	50312	6537
885	50362	6480
886	50415	6422
887	50476	6366
888	50530	6309
889	50578	6251
890	50627	6193
891	50678	6135
892	50726	6078
893	50778	6020
894	50842	5964
895	50892	5907
896	50941	5849
897	50987	5791
898	51037	5733
899	51086	5676
900	51139	5619
901	51187	5561
902	51235	5503
903	51285	5446
904	51335	5388
905	51393	5332
906	51458	5276
907	51521	5220
908	51581	5163
909	51639	5107
910	51705	5051
911	51764	4994
912	51832	4939
913	51887	4882
914	51938	4824
915	51993	4767
916	52047	4710
917	52101	4653
918	52155	4596
919	52209	4539
920	52272	4483
921	52330	4427
922	52405	4371
923	52583	4325
924	52919	4290
925	53132	4245
926	53398	4205
927	53604	4158
928	53768	4109
929	53953	4060
930	54050	4005
931	54105	3947
932	54172	3890
933	54412	3845
934	54482	3787
935	54547	3729
936	54667	3675
937	54901	3628
938	55168	3583
939	55346	3532
940	55463	3477
941	55659	3427
942	55813	3373
943	55936	3318
944	56025	3260
945	56097	3202
946	56159	3143
947	56245	3085
948	56329	3027
949	56410	2968
950	56534	2912
951	56691	2858
952	56784	2800
953	56893	2743
954	56984	2685
955	57095	2627
956	57215	2570
957	57308	2512
958	57380	2453
959	57447	2393
960	57509	2333
961	57563	2273
962	57617	2213
963	57687	2154
964	57741	2094
965	57870	2036
966	57938	1977
967	58006	1917
968	58067	1857
969	58117	1797
970	58169	1737
971	58220	1677
972	58272	1617
973	58335	1557
974	58387	1497
975	58440	1437
976	58491	1376
977	58548	1317
978	58605	1257
979	58667	1197
980	58737	1137
981	58875	1079
982	58934	1019
983	58993	959
984	59045	899
985	59096	839
986	59161	779
987	59227	719
988	59295	659
989	59352	599
990	59412	539
991	59486	479
992	59549	419
993	59601	359
994	59658	299
995	59712	239
996	59763	179
997	59821	119
998	59879	59
999	59976	0
