iter	MultiClass
138	0.8050828509
139	0.8015115354
140	0.7977602624
141	0.794986373
142	0.7927815809
143	0.7874543406
144	0.7857449371
145	0.7841404717
146	0.7818097652
147	0.7791677803
148	0.7754911698
149	0.7736396258
150	0.7713892684
151	0.7681388346
152	0.7649641004
153	0.7625317572
154	0.7598996796
155	0.7567920541
156	0.7530187015
157	0.7496316407
158	0.7465805592
159	0.7462111835
160	0.7437468696
161	0.7430718106
162	0.7407758829
163	0.7390483971
164	0.7356293267
165	0.7333032748
166	0.7315155904
167	0.7288023705
168	0.726417312
169	0.7211896695
170	0.7192440877
171	0.7171496317
172	0.7149871057
173	0.7125100869
174	0.7118328245
175	0.7092854087
176	0.7075987788
177	0.7068807704
178	0.7041015665
179	0.7020160884
180	0.6996496197
181	0.69863782
182	0.6961167079
183	0.6938123978
184	0.6918117267
185	0.6893222208
186	0.6865248676
187	0.6852674383
188	0.6829718796
189	0.6823806261
190	0.6817119085
191	0.6798414974
192	0.6756237037
193	0.6746796628
194	0.67229513
195	0.6683335304
196	0.6667800956
197	0.6638583786
198	0.6607543176
199	0.6593586654
200	0.6582430198
201	0.6551506048
202	0.6521042005
203	0.6499883354
204	0.6458558994
205	0.6412898075
206	0.6389232616
207	0.63796517
208	0.6349277486
209	0.6323226386
210	0.6312311517
211	0.6293877185
212	0.62655248
213	0.6251966203
214	0.6236442713
215	0.6223993576
216	0.6206841644
217	0.6179057602
218	0.6175462029
219	0.6148623425
220	0.6132859876
221	0.6108696588
222	0.6082259854
223	0.6054304634
224	0.6048266915
225	0.6016085712
226	0.5980234209
227	0.5959876082
228	0.5942979354
229	0.5930042042
230	0.59220072
231	0.5902765891
232	0.5889003511
233	0.587760949
234	0.5870422395
235	0.5863322723
236	0.584570456
237	0.583622283
238	0.5812587693
239	0.5804639366
240	0.5783708555
241	0.5756439523
242	0.574792202
243	0.5741465546
244	0.573174811
245	0.5712155156
246	0.5683695401
247	0.5669341018
248	0.5647419588
249	0.5634127711
250	0.560597371
251	0.5588966198
252	0.5564437486
253	0.5551465816
254	0.5518917711
255	0.5512770068
256	0.5502635194
257	0.5485636342
258	0.5477726729
259	0.5454959959
260	0.5437866378
261	0.5408741789
262	0.5401435977
263	0.5391070924
264	0.5366119999
265	0.5341577134
266	0.5315780202
267	0.530223498
268	0.5293973027
269	0.5273551929
270	0.5265857374
271	0.525216766
272	0.5226915605
273	0.5211542546
274	0.5202129381
275	0.5181782988
276	0.5171253348
277	0.5145177047
278	0.5130054828
279	0.5114129675
280	0.5088259337
281	0.5062837546
282	0.5056404732
283	0.5035261106
284	0.5019083193
285	0.5010100106
286	0.4996808751
287	0.4985511875
288	0.4967819781
289	0.4950113352
290	0.4930051121
291	0.4915321323
292	0.4908094521
293	0.489426129
294	0.487922228
295	0.485820698
296	0.4849314592
297	0.4843826832
298	0.4831100806
299	0.4815258429
300	0.4805175706
301	0.4794177433
302	0.478021764
303	0.4767634276
304	0.4752256626
305	0.4742716317
306	0.47256213
307	0.4714139897
308	0.4707388938
309	0.4696852023
310	0.4674668404
311	0.4657027049
312	0.4645615501
313	0.4633589926
314	0.4620269523
315	0.4612315293
316	0.4608167836
317	0.4603811994
318	0.4590089029
319	0.4575848003
320	0.4570841897
321	0.4561967041
322	0.4550571069
323	0.45435147
324	0.4529297978
325	0.4524616841
326	0.4509073099
327	0.4502123764
328	0.4488884275
329	0.4477671244
330	0.445385573
331	0.4439305944
332	0.4426182873
333	0.441542957
334	0.44053854
335	0.43950861
336	0.4393559957
337	0.4389118089
338	0.4384837524
339	0.4362514757
340	0.4353402173
341	0.4343310788
342	0.4327276824
343	0.4323743022
344	0.4314905487
345	0.4299732605
346	0.4287667098
347	0.4279544967
348	0.4272042365
349	0.426373478
350	0.4258269339
351	0.4249055873
352	0.423469125
353	0.4221746005
354	0.4213412174
355	0.4202504973
356	0.4191636385
357	0.4182733971
358	0.4178424271
359	0.416981431
360	0.4157011521
361	0.4142571205
362	0.4136810724
363	0.4129201815
364	0.4115740053
365	0.4110023102
366	0.4105107884
367	0.4090042544
368	0.4078591724
369	0.4066846994
370	0.4056902192
371	0.4051609864
372	0.4043581222
373	0.4035145127
374	0.4031138624
375	0.4023943784
376	0.401455321
377	0.4005502891
378	0.3995838098
379	0.3982016075
380	0.3970929082
381	0.3959328295
382	0.3948416201
383	0.3939003735
384	0.3925098216
385	0.3922502945
386	0.3909192816
387	0.3901576256
388	0.3886063428
389	0.3870259592
390	0.3859368084
391	0.3843480847
392	0.3830306321
393	0.3822391302
394	0.3810218354
395	0.3806859175
396	0.379860361
397	0.37907479
398	0.3777503078
399	0.3765270897
400	0.3754580439
401	0.3748233301
402	0.3736827378
403	0.37275319
404	0.3711615187
405	0.3700379136
406	0.3687768904
407	0.3674405678
408	0.3660263563
409	0.3650749468
410	0.3643283982
411	0.3632298152
412	0.362672107
413	0.3616543762
414	0.3601939605
415	0.3593294263
416	0.3579199477
417	0.3571392409
418	0.356130759
419	0.3551769359
420	0.3541570355
421	0.3531587476
422	0.3518444199
423	0.3510124971
424	0.3505570564
425	0.3497007397
426	0.3485982514
427	0.3477649814
428	0.3473512268
429	0.3459667425
430	0.3455818223
431	0.3448576795
432	0.3436940174
433	0.3427382802
434	0.342001631
435	0.3413612456
436	0.3409391099
437	0.3399205545
438	0.3391726468
439	0.338669802
440	0.3370219498
441	0.3358870062
442	0.3346874399
443	0.3336133731
444	0.3326115922
445	0.3312900128
446	0.33084163
447	0.3304272835
448	0.330086941
449	0.328846946
450	0.3282120014
451	0.3274346431
452	0.3269366996
453	0.3263882606
454	0.3257811269
455	0.3242639634
456	0.3236983307
457	0.322899844
458	0.3215745767
459	0.32084396
460	0.3206720871
461	0.3203159517
462	0.3193828428
463	0.3180502028
464	0.3176956417
465	0.317048702
466	0.316266772
467	0.3149433656
468	0.3142663702
469	0.313336099
470	0.3130317319
471	0.3119514577
472	0.31121283
473	0.3100912907
474	0.3095326494
475	0.3089671243
476	0.3084150703
477	0.3075844642
478	0.3065146573
479	0.3057656562
480	0.3049806458
481	0.3045618217
482	0.3040564718
483	0.3032801111
484	0.3028829536
485	0.3019368937
486	0.3009736196
487	0.3008006608
488	0.300321503
489	0.2999198576
490	0.2996772435
491	0.2990458164
492	0.2984266382
493	0.2974807289
494	0.2968641087
495	0.296213953
496	0.295927417
497	0.2953962275
498	0.2952439568
499	0.294534136
500	0.2938206484
501	0.2930046057
502	0.29272513
503	0.2920368741
504	0.2915939061
505	0.2906226573
506	0.2900942343
507	0.2895028835
508	0.2886513097
509	0.2878295552
510	0.2877215303
511	0.2875665926
512	0.287099085
513	0.2868276192
514	0.2861115546
515	0.2858541363
516	0.2855561664
517	0.2844546154
518	0.2839562394
519	0.2830508934
520	0.282877912
521	0.2822135525
522	0.2812145053
523	0.2806153397
524	0.2797544246
525	0.2790986054
526	0.2785550769
527	0.2782977686
528	0.2776008321
529	0.2772148132
530	0.2762760552
531	0.2756525218
532	0.2747808047
533	0.2740475297
534	0.2734096222
535	0.2724207435
536	0.2722752232
537	0.2714520729
538	0.2711184133
539	0.2704086436
540	0.2699494663
541	0.2691700018
542	0.268680313
543	0.2682355843
544	0.2671190913
545	0.2663726162
546	0.2660984137
547	0.2655169711
548	0.2648123885
549	0.2640552963
550	0.2634110335
551	0.2629244584
552	0.2621595029
553	0.2616883231
554	0.2611009974
555	0.2606936908
556	0.2600332148
557	0.259468046
558	0.2593824779
559	0.2586096828
560	0.2575503757
561	0.2573085441
562	0.2564701486
563	0.2560598688
564	0.2556821649
565	0.2549255606
566	0.2545186203
567	0.254453673
568	0.253782713
569	0.2534566103
570	0.2530746175
571	0.2523183009
572	0.2519045453
573	0.2514178978
574	0.2508701818
575	0.2501738209
576	0.2496739546
577	0.2493878471
578	0.2488891543
579	0.2482961165
580	0.2477215507
581	0.2469440436
582	0.2466356229
583	0.2462289474
584	0.2455273444
585	0.2451570607
586	0.2446525462
587	0.244273341
588	0.2436431069
589	0.2434950196
590	0.243397515
591	0.2430121228
592	0.2424589
593	0.2423157363
594	0.2421890255
595	0.2415059669
596	0.2409737523
597	0.2407529943
598	0.2405177955
599	0.2401180112
600	0.2393841075
601	0.2387093196
602	0.238525792
603	0.2383606062
604	0.2377951412
605	0.2371416533
606	0.2367278441
607	0.2359425677
608	0.2354676404
609	0.2353927638
610	0.2350530252
611	0.2347856734
612	0.2343789445
613	0.2340417574
614	0.2335520601
615	0.2327593506
616	0.2326242493
617	0.2320980727
618	0.2317647718
619	0.231221255
620	0.2306309697
621	0.2298596599
622	0.2293949551
623	0.2288683926
624	0.2284588672
625	0.2278338831
626	0.2271301189
627	0.2270207039
628	0.2263656616
629	0.2259863772
630	0.2252669039
631	0.2244753093
632	0.2241771194
633	0.2238508739
634	0.223095391
635	0.2227190603
636	0.2224029392
637	0.222039036
638	0.2216347587
639	0.2211569827
640	0.2209596315
641	0.2202478161
642	0.2198855012
643	0.2195868385
644	0.2191318001
645	0.2187769017
646	0.2181482344
647	0.217748597
648	0.2172765102
649	0.2166249568
650	0.2164358205
651	0.2162316515
652	0.2158886009
653	0.2153263114
654	0.2149350222
655	0.2144026719
656	0.2141931435
657	0.2136766839
658	0.2132528446
659	0.2129683385
660	0.2126770176
661	0.2124527443
662	0.2120494799
663	0.2117314344
664	0.2114487767
665	0.2112513021
666	0.2111732703
667	0.2106508387
668	0.2102489584
669	0.2099518784
670	0.2098773797
671	0.2097386386
672	0.2095127853
673	0.2092657657
674	0.2087241701
675	0.208116322
676	0.2077089032
677	0.2074253826
678	0.2069196822
679	0.206369088
680	0.2062048335
681	0.2056255224
682	0.2054723945
683	0.204775569
684	0.2041730052
685	0.2034834401
686	0.2032634917
687	0.2028768494
688	0.2025812508
689	0.202063988
690	0.2018321703
691	0.2014420798
692	0.2012526157
693	0.2010487395
694	0.200646594
695	0.2001686272
696	0.1999570979
697	0.1996576798
698	0.1994198397
699	0.1990895188
700	0.1986213087
701	0.1984625499
702	0.1983511787
703	0.1979472538
704	0.1976144063
705	0.1972114324
706	0.1969656976
707	0.196606514
708	0.1962950536
709	0.1960693672
710	0.1955053558
711	0.1952341297
712	0.1946500229
713	0.194360353
714	0.1940771035
715	0.193670994
716	0.1934700311
717	0.1930022369
718	0.192640992
719	0.1923059359
720	0.1920650657
721	0.1920320978
722	0.1917331676
723	0.1913476867
724	0.1911885226
725	0.190648024
726	0.1902515573
727	0.1897523029
728	0.1893387286
729	0.189072557
730	0.188513528
731	0.188100228
732	0.1879631835
733	0.1873361771
734	0.1870022277
735	0.1868355628
736	0.1866669775
737	0.1861957267
738	0.1859490239
739	0.1856424721
740	0.1852582442
741	0.184671513
742	0.1843777129
743	0.1840857019
744	0.1835456048
745	0.183028993
746	0.1823747214
747	0.1819558126
748	0.181710452
749	0.1812943943
750	0.1808957558
751	0.1804733603
752	0.1800186805
753	0.1798762638
754	0.1795254854
755	0.1792456756
756	0.178858536
757	0.1783402592
758	0.178139929
759	0.1778769659
760	0.1777566117
761	0.1772485233
762	0.1770633078
763	0.1767919522
764	0.1764339745
765	0.1762351617
766	0.1760964177
767	0.1758242225
768	0.175603
769	0.1751653396
770	0.1748044351
771	0.1743283215
772	0.1741068239
773	0.1738138038
774	0.1736228981
775	0.1735377759
776	0.1733015594
777	0.1729306896
778	0.1727740745
779	0.1724555002
780	0.172168306
781	0.171926998
782	0.1714765898
783	0.1712861087
784	0.1711377699
785	0.1705377758
786	0.1705004083
787	0.1702448755
788	0.1699826062
789	0.1697011046
790	0.1695457494
791	0.1692538915
792	0.1689308319
793	0.1684016349
794	0.1681472041
795	0.1679357741
796	0.1677102139
797	0.1674167526
798	0.167015135
799	0.1668251354
800	0.16656363
801	0.1663722272
802	0.1660911557
803	0.1656959296
804	0.1654773479
805	0.1650310469
806	0.1648187474
807	0.1645325499
808	0.1643056001
809	0.1639592161
810	0.163841621
811	0.1635125223
812	0.1632106544
813	0.1630326417
814	0.1628922666
815	0.1627466122
816	0.1624995262
817	0.1620413068
818	0.1618784372
819	0.1616383435
820	0.1612717059
821	0.160941192
822	0.1606626727
823	0.1603451798
824	0.1601780585
825	0.1599959039
826	0.1596378559
827	0.1594483498
828	0.1591761834
829	0.1587460639
830	0.1584226006
831	0.1581566681
832	0.1576367932
833	0.1574022854
834	0.1571016383
835	0.1570264691
836	0.1567154497
837	0.156424854
838	0.1563742648
839	0.1560262956
840	0.1559276163
841	0.1558342522
842	0.1554230529
843	0.1551620111
844	0.1549494108
845	0.1544294377
846	0.1538787514
847	0.1537202232
848	0.1535104738
849	0.1534488961
850	0.1530325902
851	0.1526951091
852	0.1524654444
853	0.1519415767
854	0.1517555979
855	0.1516388136
856	0.1513384826
857	0.1509792091
858	0.1506075332
859	0.1504592691
860	0.1502397631
861	0.1500703699
862	0.1498765325
863	0.1496078813
864	0.1494115575
865	0.1493219922
866	0.1491401661
867	0.1487857539
868	0.1485220047
869	0.1482182617
870	0.1480806522
871	0.1477396696
872	0.1474342128
873	0.1471979441
874	0.1470002832
875	0.1468034399
876	0.1466455082
877	0.1463875342
878	0.1460864549
879	0.145972304
880	0.1458641219
881	0.1457302403
882	0.1454155186
883	0.1453040321
884	0.1450299472
885	0.1448057971
886	0.1445511193
887	0.1441227326
888	0.1437641542
889	0.1435689355
890	0.1432853451
891	0.1429108466
892	0.1426973768
893	0.1424704428
894	0.1422397578
895	0.1421021315
896	0.1419741168
897	0.1416882474
898	0.1414592476
899	0.1413294815
900	0.1412398818
901	0.1408906291
902	0.1405359003
903	0.1403072396
904	0.1401420327
905	0.1397039705
906	0.1394791919
907	0.1392882261
908	0.1390151316
909	0.1388127861
910	0.1385964882
911	0.1383853956
912	0.1383039487
913	0.1381704902
914	0.1380147578
915	0.1377678901
916	0.1376463807
917	0.1374333304
918	0.1371032326
919	0.1368482236
920	0.1366462442
921	0.1362846386
922	0.1362170018
923	0.1360089687
924	0.1357529855
925	0.1356437923
926	0.1354303172
927	0.1351476069
928	0.135027313
929	0.1346961161
930	0.1345553905
931	0.1342506293
932	0.1339648059
933	0.1337097813
934	0.1335663089
935	0.1332581494
936	0.1331485692
937	0.1328955921
938	0.1326300264
939	0.1324274075
940	0.1321652941
941	0.13194455
942	0.1315938228
943	0.131432052
944	0.1313277836
945	0.1311730277
946	0.1309246252
947	0.1308643725
948	0.1307378165
949	0.1306527919
950	0.1302658465
951	0.1301464182
952	0.1299972811
953	0.1298090089
954	0.1295751105
955	0.1294613331
956	0.1293928806
957	0.1290999055
958	0.128900694
959	0.128674233
960	0.1285646514
961	0.1282498965
962	0.1280731598
963	0.1279063846
964	0.1276721308
965	0.127437507
966	0.1272125217
967	0.1269683475
968	0.1267160473
969	0.1265010344
970	0.1263118802
971	0.12593669
972	0.1257173116
973	0.1255788379
974	0.1253989347
975	0.1251113188
976	0.1250082217
977	0.1248625285
978	0.1246600337
979	0.1245456008
980	0.1243905163
981	0.1243448645
982	0.124211267
983	0.1241881013
984	0.1239434804
985	0.1236620653
986	0.1234648503
987	0.1233074441
988	0.1230193085
989	0.1228734188
990	0.1226725689
991	0.1224311016
992	0.1222205917
993	0.1219893989
994	0.1216972675
995	0.1216514033
996	0.1214148524
997	0.1212705273
998	0.1210768639
999	0.1208847972
